season,team_id,venue_id,venue_name_short,name_display_club,is_diff_configuration,distance_lf_line,distance_lf_gap,distance_cf,distance_rf_gap,distance_rf_line,distance_deepest,height_lf_line,height_lf_gap,height_cf,height_rf_gap,height_rf_line,height_highest,avg_fence_distance,avg_hr_distance,fence_area,avg_fence_height,year,elevation_feet,n,avg_roof,avg_daytime,avg_temperature,extra_distance,temperature_extra_distance,elevation_extra_distance,roof_extra_distance,environment_extra_distance,n_year_venue_roof_for_cool_hot_code,avg_temp_cool,extra_distance_cool,avg_temp_warm,extra_distance_warm,avg_temp_hot,extra_distance_hot
2020,109,15,Chase Field,D-backs,0,329.5258933196442,387.94952722192073,404.5652564209988,387.6263384210323,333.25746872993284,409.4310277905742,8.19,7.385,24.44,6.975,8.879,24.525,378.6392545027715,390.4190156138826,112600.71652913939,11.77976111111111,2020,1086,57,60,30,85.7,10.3,4.7,2.9,2.4,0.3,23,86.6,9.2,97.9,13.4,110.9,12.2
2020,110,2,Oriole Park at Camden Yards,Orioles,0,332.9281701818481,370.69135487795484,399.18325788040494,385.56857780077075,317.50845064673246,407.93559805894876,6.44,6.525,6.403,6.403,19.615,19.959,367.4888242019503,376.43659642417254,106066.47937676354,8.947772222222223,2020,33,58,0,19,79.4,-1.6,2.1,-2.3,0,-1.4,58,71.8,-5.6,78.7,-2.1,87.8,2.8
2020,111,3,Fenway Park,Red Sox,0,308.528919135591,344.6228878833527,388.949762705891,377.9275023302444,299.9331787533135,417.33021987040416,36.804,36.804,16.874,3.878,3.544,36.804,362.12227946138296,382.2773239058274,102991.26022635738,20.15504444444445,2020,21,57,0,26,76.9,2.8,1.1,-2.4,0,4.1,57,68.1,-0.1,77.1,5.9,85.5,2.5
2020,112,17,Wrigley Field,Cubs,0,352.3911558979324,356.4350487869827,396.9856601858375,379.0237288122617,349.32072777025377,400.998474009416,11.299,11.282,11.231,11.375,11.192,11.493,367.6408981894927,378.95299263393713,106154.28226405784,11.31209444444444,2020,595,55,0,33,76.3,-1.5,0.9,0.5,0,-2.9,55,65.9,-4.8,77.9,-8.5,84.8,9.2
2020,113,2602,Great American Ball Park,Reds,0,328.0053715881171,375.90537737103256,403.78509258681345,368.45106127838085,324.6319363788634,403.78509258681345,11.34,11.295,7.672,7.573,11.724,11.724,364.45435652427335,373.3886343020511,104322.06456260396,8.93427777777778,2020,535,53,0,9,77.7,2.3,1.5,0.2,0,0.6,53,68.3,-4.6,78.2,3.1,86.4,8.5
2020,113,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,114,5,Progressive Field,Guardians,0,324.8000510753142,367.86212057947205,400.01419698999143,374.94456104991104,324.5774997863949,408.5878566280975,20.347,20.247,7.68,7.68,12.096,20.347,365.93778821215915,379.5484159899369,105173.03314629674,13.610627777777779,2020,653,49,0,20,77.1,-3,1.2,0.7,0,-4.9,49,67.2,-6.9,79.6,1,84.2,-3.4
2020,115,19,Coors Field,Rockies,0,346.973809964993,407.7545623367226,414.7439355565946,385.1815094554264,350.86966585046514,422.4917903532178,12.364,7.707,7.593,16.118,16.12,16.12,385.6276128388509,397.1715128388509,116795.5051338925,11.543899999999999,2020,5190,52,0,40,83.8,18.9,4,24.1,0,-9.2,52,77.5,16.5,83.9,20.7,90.1,19.4
2020,116,2394,Comerica Park,Tigers,0,341.16643798225795,382.41949513876324,421.73727789779605,393.06449440312974,328.32788400842037,428.3242936478155,7.983,6.369,8.059,13.102,9.115,13.102,379.05089885948684,387.12320997059794,112845.68133333517,8.072311111111109,2020,600,39,0,49,74.6,-3.3,0.2,0.5,0,-4,39,63.8,-8.5,75.5,-5.2,84.6,3.8
2020,116,3312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,117,2392,Daikin Park,Astros,0,314.6906611569175,367.34057621237935,409.3595926347124,377.71042041363734,325.4941952808668,415.6510408055317,18.177,24.021,9.261,9.451,6.375,27.887,364.23783085159334,376.90754196270444,104198.14399580989,12.669711111111111,2020,45,46,96,37,74.8,-1.1,0.3,-2.2,3.7,-2.9,2,NA,NA,NA,NA,NA,NA
